" Copy"," Kopirajte"
"Success Email Sender","Pošiljatelj e-pošte uspeha"
"Success Email Template","Predloga e-pošte uspeha"
"Template Content","Vsebina predloge"
"Template Information","Informacije predloge"
"Template Name","Ime predloge"
"Template Styles","Stili predloge"
"Template Subject","Zadeva predloge"
"Template Type","Tip predloge"
"Thank you for your subscription.","Hvala vam za vaše naročilo."
"The subscription has been removed.","Naročilo je bilo odstranjeno."
"The subscription has been saved.","Naročilo je bilo shranjeno."
"There was a problem with the subscription.","Prišlo je do težave z naročilom."
"There was a problem with the subscription: %s","Prišlo je do težave z naročilom: %s"
"There was a problem with the un-subscription.","Prišlo je do težave z odjavo naročila."
"This email address is already assigned to another user.","Ta naslov e-pošte je že dodeljen drugemu uporabniku."
"Type","Tip"
"Unconfirmed","Nepotrjen"
"Unsubscribe","Odjava naročila"
"Unsubscribe Selected","Izbrana odjava naročila"
"Unsubscribed","Odjavljeno"
"Unsubscription Email Sender","Odjava pošiljatelja e-pošte"
"Unsubscription Email Template","Predloga e-pošte odjave naročila"
"View Newsletter","Poglejte e-novice"
"Website","Spletna stran"
"You have been unsubscribed.","Bili ste odjavljeni."
"Your subscription has been confirmed.","Vaše naročilo je bilo potrjeno."
