"Credit Card Type","Vrsta kreditne kartice"
"Email","E-pošta"
"Customer Group:","Skupina kupcev:"
"Option","Možnost"
"Primary Billing Address","Glavni naslov za izstavitev računa"
"Create Backup","Ustvarite varnostno kopijo"
"Manage Options (values for your attribute)","Upravljaj možnosti (vrednosti za vaš atribut)"
"Total Due","Skupaj do"
"Copyright 2007","© 2007, vse pravice pridržane"
"Newsletter Subscribers","Naročniki e-novic"
"CC Number","Številka CC"
"Add New Tax Rate","Dodaj novo davčno stopnjo"
"Product Name","Ime produkta"
"Country","Država"
"Purchase order number","Številka naročilnice"
"Date and Time","Datum in čas"
"Categories","Kategorije"
"Qty Cancelled","Preklicana količina"
"Card Verification Number","Potrditvena številka kartice"
"Order Date","Datum naročila"
"This tab contains invalid data. Please correct before saving.","Ta zavihek vsebuje neveljavne podatke. Pred shranjevanjem jih popravite."
"Customer Balance","Stanje kupca"
"Update Qty","Posodobi količino"
"Customer Groups","Skupine kupcev"
"Export to","Izvoz v"
"configuration","nastavitve"
"Sorry, no quotes are available for this order at this time.","Žal v tem trenutku za to naročilo ni na voljo nobenega predračuna."
"Options","Možnosti"
"Attribute Name","Ime atributa"
"Total <strong>%d</strong> records found","Skupaj najdenih <strong>%d</strong> vnosov"
"Comment","Komentar"
"Set as default shipping address","Nastavi kot privzeti naslov za dostavo"
"Last Name","Priimek"
"of","od"
"Newsletter Problem Reports","Poročila težav e-novic"
"Sales Statistics","Statistika prodaje"
"Qty To Return","Količina za vračilo"
"New Customer Address","Naslov novega kupca"
"Roles Resources","Viri vlog"
"Zip/Post Code","Poštna številka"
"Order Status","Status naročila"
"Store","Trgovina"
"Product Categories","Kategorije produktov"
"Online Customers","Kupci na strani"
"Next page","Naslednja stran"
"Items Shipped","Dostavljeni elementi"
"Unassigned Attributes","Nedodeljeni atributi"
"Not Charged Yet","Še ni zaračunano"
"This group contains system attributes.\nPlease, move system attributes to another group and try again.","Ta skupina vsebuje sistemske atribute.\nPremaknite sistemske atribute k drugi skupini in poskusite ponovno."
"copy data from","kopiraj podatke iz"
"Add","Dodaj"
"Total Payed","Skupaj plačano"
"Shopping Cart","Košarica nakupa"
"Order History","Zgodovina naročil"
"Empty","Prazno"
"Unable to complete request. Please, try again later.","Zahtevka ni mogoče zaključiti. Poskusite ponovno kasneje."
"Customers","Kupci"
"Customer does not have any addresses","Kupec nima nobenega naslova"
"Add New Role","Dodaj novo vlogo"
"Street Address","Naslov ulice"
"Are You Sure?","Ali ste prepričani?"
"Shipping Address","Naslov za dostavo"
"Paid","Plačano"
"Page","Stran"
"Discount","Popust"
"Set root category for this store in","Nastavi vrhovno kategorijo za to trgovino v"
"Groups","Skupine"
"View","Pogled"
"Qty Ordered","Naročena količina"
"Global Record Search","Iskanje globalnih vnosov"
"Card Number","Številka kartice"
"PO Number","Številka PO"
"Grand Total","Skupaj v celoti"
"Please select one or more attributes.","Izberite enega ali več atributov."
"Dashboard","Nadzorna plošča"
"Are you sure you want to do this?","Ali ste prepričani, da želite to storiti?"
"Please add one or more options","Dodajte eno ali več možnosti"
"Role Users","Uporabniki vlog"
"Add New Tax Rule","Dodaj novo pravilo davka"
"Subscribe to newsletter","Naročite se na e-novice"
"Dashboard Control","Kontrolna plošča"
"Default Shipping","Privzeta dostava"
"Qty","Količina"
"Add to Queue","Dodaj v čakalno vrsto"
"Average Sale","Povprečna prodaja"
"Cancel","Prekliči"
"All stores","Vse trgovine"
"Personal Information","Osebne informacije"
"City","Mesto"
"Export Tax Rates","Izvoz davčnih stopenj"
"1 star","1 zvezdica"
"Current Configuration Scope","Obseg trenutnih nastavitev"
"Add New Template","Dodaj novo predlogo"
"Move to:","Premakni v:"
"First Name","Ime"
"Change Order Status","Spremeni status naročila"
"Are you sure you want to delete this address?","Ali ste prepričani, da želite izbrisati ta naslov?"
"Are you sure you want to do it?","Ali ste prepričani, da želite to storiti?"
"Add to Order","Dodaj k naročilu"
"Product ID","ID produkta"
"Payment Method","Način plačila"
"What is this?","Kaj je to?"
"Users","Uporabniki"
"Customer Addresses","Naslovi kupca"
"Qty Backordered","Vrnjena količina"
"You can not remove system attribute from this set.","Za ta nabor ne morete odstraniti sistemskega atributa."
"Price","Cena"
"Who","Kdo"
"Rating Not Alvailable","Ocena ni na voljo"
"Order Comment","Komentar naročila"
"Edit Role","Uredi vlogo"
"Tax Rates Import / Export","Uvoz / izvoz davčnih stopenj"
"Magento Logo","Logotip Magento"
"A name is required","Ime je zahtevano"
"Assigned options","Dodeljene možnosti"
"Please Enter New Group Name","Vnesite ime nove skupine"
"Name","Ime"
"Email Preview","Predogled e-pošte"
"Newsletter Queue","Čakalna vrsta e-novic"
"Remove","Odstrani"
"Last Log In:","Zadnja prijava:"
"Logged in as <strong>%s</strong>","Prijavljeni kot <strong>%s</strong>"
"Name on Card","Ime na kartici"
"All Stores","Vse trgovine"
"Send comment to customer","Pošlji komentar kupcu"
"Account Created on:","Račun ustvarjen:"
"Backups Control","Nadzor varnostnih kopij"
"Add New Address","Dodaj nov naslov"
"Account Created in:","Račun ustvarjen v:"
"Default Billing","Privzeta izstavitev računa"
"Manage Titles (Size, Color, etc.)","Upravljanje naslovov (Velikost, Barva itd.)"
"Please confirm site switching. All data not saved will be lost.","Potrdite preklop strani. Vsi podatki, ki niso shranjeni, bodo izgubljeni."
"Please select from each ratings above","Izberite iz vsake ocene zgoraj"
"Qty Shipped","Dostavljena količina"
"Are you sure you want to cancel add this address?","Ali ste prepričani, da želite preklicati dodajanje tega naslova?"
"The information in this tab has been changed.","Informacije v tem zavihku so spremenjene."
"2 stars","2 zvezdici"
"Apply","Uporabi"
"Total","Skupaj"
"User roles","Vloge uporabnika"
"Wishlist Report","Poročilo seznama želja"
