"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d pravila cene košarice na osnovi atribua ""%s"" so bila onemogočena."
"%s Coupon(s) have been generated","%s kupon(i) so bili generirani"
"Actions","Dejanja"
"Usage limit enforced for logged in customers only","Omejitev uporabe uveljavljena samo za prijavljene kupce"
"Use Auto Generation","Uporabite avtomatsko generiranje"
"Used","Uporabljeno"
"Uses per Coupon","Uporabe na kupon"
"Uses per Customer","Uporabe na kupca"
"Website","Spletna stran"
"Websites","Spletne strani"
"Wrong rule specified.","Določeno napačno pravilo."
"Yes","Da"
"total amount","skupaj znesek"
"total quantity","skupaj količina"
