"# of Use","Št. uporabe"
"%1$s incl tax.","%1$s vključno z davkom."
"%s - %s","%s - %s"
"%s Item(s)","Elementov: %s"
"%s and above","%s in več"
"%s-%s of %s","%s-%s od %s"
"Backend Table Title","Naslov tabele ozadja"
"Backorders","Prednaročila"
"Base Image Width","Širina osnovne slike"
"Based On","Osnovano na"
"Before Order Confirmation","Pred potrditvijo naročila"
"Best Value","Najboljša vrednost"
"Block after Info Column","Blok za stolpcem informacij"
"Bottom Block Options Wrapper","Ovitek možnosti spodnjega bloka"
"Bottom/Left","Spodaj/levo"
"Bottom/Right","Spodaj/desno"
"Browse By","Brskajte po"
"Bundle Items","Zapakiranje elementov"
"Buy %1$s","Nakup %1$s"
"Buy %1$s for","Nakup %1$s za"
"Buy %1$s for %2$s","Nakup %1$s za %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Nakup %1$s za %2$s (%3$s vključno z davkom) vsak"
"Buy %1$s for %2$s each","Nakup %1$s za %2$s vsak"
"Cache Lifetime (Seconds)","Življenjska doba predpomnilnika (sekunde)"
"Cache refresh needed.","Potrebna je osvežitev predpomnilnika."
"Can be Divided into Multiple Boxes for Shipping","Lahko je razdeljeno v več paketov za dostavo"
"Can be used only with catalog input type Dropdown","Lahko je uporabljeno samo s katalogom vnosnega tipa spustnega seznama"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Lahko je uporabljeno samo s katalogom vnosnega tipa spustnega seznama, večkratnega izbirnika in cene"
"Can\'t create image.","Slike ni mogoče ustvariti."
"Cancel","Preklic"
"Cannot create image.","Slike ni mogoče ustvariti."
"Cannot create writeable directory '%s'.","Zapisljivega direktorija '%s' ni mogoče ustvariti."
"Cart Item Attribute","Atribut elementa košarice"
"Catalog","Katalog"
"Catalog Category (Anchor)","Kategorija kataloga (sidro)"
"Catalog Category (Non-Anchor)","Kategrija kataloga (ni sidro)"
"Catalog Category (Without Subcategories)","Kategorija kataloga (brez podkategorij)"
"Catalog Category Link","Povezava kategorije kataloga"
"Catalog New Products List","Seznam novih kataloških produktov"
"Catalog Price Scope","Obseg cene kataloga"
"Catalog Product Compare List","Primerjalni seznam kataloških izdelkov"
"Catalog Product Email to a Friend","Pošlji prijatelju e-pošto kataloškega izdelka"
"Catalog Product Image Gallery Popup","Pojavno okence galerije slik kataloških izdelkov"
"Catalog Product Link","Povezava kataloškega izdelka"
"Catalog Product View (Any)","Pogled kataloškega izdelka (katerikoli)"
"Catalog Product View (Configurable)","Pogled kataloškega izdelka (nastavljivo)"
"Catalog Product View (Grouped)","Pogled kataloškega izdelka (združeno)"
"Catalog Product View (Simple)","Pogled kataloškega izdelka (enostavno)"
"Catalog Product View (Virtual)","Pogled kataloškega izdelka (virtualno)"
"Catalog Section","Sekcija kataloga"
"Catalog Seo Sitemap (Category List)","SEO kazalo strani kataloga (seznam kategorij)"
"Catalog Seo Sitemap (Category Tree)","SEO kazalo strani kataloga (drevo kategorij)"
"Catalog Seo Sitemap (Common)","SEO kazalo strani kataloga (pogosto)"
"Catalog Seo Sitemap (Product List)","SEO kazalo strani kataloga (seznam produktov)"
"Catalog URL Rewrites","Prepisi URL-jev kataloga"
"Catalog product custom option values API","API vrednosti možnosti po meri kataloškega izdelka"
"Catalog product custom options API","API možnosti po meri kataloškega izdelka"
"Catalog, Search","Katalog, iskanje"
"Categories","Kategorije"
"Categories Sitemap","Kazalo strani kategorij"
"Category","Kategorija"
"Category API","API kategorije"
"Category Data","Podatki kategorije"
"Category Flat Data","Nepovezani podatki kategorije"
"Category Link Block Template","Predloga bloka povezave kategorije"
"Category Link Inline Template","Medvrstična predloga povezave kategorije"
"Category Products","Produkti kategorije"
"Category Top Navigation","Zgornja navigacija kategorije"
"Category URL Suffix","URL pripona kategorije"
"Category attributes API","API atributov kategorije"
"Category move error","Napaka pri premiku kategorije"
"Category move error %s","Napaka premika kategorije %s"
"Category move operation is not possible: parent category is equal to child category.","Operacija premika kategorije ni možna: nadrejena kategorija je enaka podrejeni kategoriji."
"Category move operation is not possible: the current category was not found.","Operacija premika kategorije ni možna: trenutne kategorije ni mogoče najti."
"Category move operation is not possible: the new parent category was not found.","Operacija premika kategorije ni možna: nove nadrejene kategorije ni mogoče najti."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategorija mora biti instanca Mage_Catalog_Model_Category."
"Center","Center"
"Change","Sprememba"
"Change or Retrieve attribute store view","Sprememba ali povrnitev pogleda trgovine atributa"
"Change status","Spremenite status"
"Check items to add to the cart or","Preverite elemente za dodajanje v košarico ali"
"Choose an Option...","Izberite možnost ..."
"Clear All","Počistite vse"
"Clear Price","Počistite ceno"
"Click for price","Kliknite za ceno"
"Close Window","Zaprite okno"
"Collapse All","Strnite vse"
"Comma-separated.","Ločeno z vejico."
"Comparable","Primerljivo"
"Comparable on Front-end","Primerljivo na ospredju"
"Comparable on the Frontend","Primerljivo na ospredju"
"Compare","Primerjajte"
"Compare Products","Primerjajte produkte"
"Conditions Combination","Kombinacija pogojev"
"Configurable Product","Nastavljivi produkt"
"Configurable Product Settings","Nastavitve nastavljivega produkta"
"Configure Product","Nastavite produkt"
"Continue","Nadaljevanje"
"Copy From Configurable","Kopirajte iz nastavljivega"
"Country/State","Država/zvezna država"
"Create","Ustvarite"
"Create (Upload)","Ustvarite (Naložite)"
"Create Empty","Ustvarite prazno"
"Create Permanent Redirect for URLs if URL Key Changed","Ustvarite trajno preusmeritev za URL-je, če je URL ključ spremenjen"
"Create Permanent Redirect for old URL","Ustvarite trajno preumeritev starega URL"
"Create Product Settings","Ustvarite nastavitve produkta"
"Create Simple Associated Product","Ustvarite enostavni povezani produkt"
"Create attribute set based on another set","Ustvarite nabor atributov na osnovi drugega nabora"
"Create new attribute","Ustvarite nov atribut"
"Create new category","Ustvarite novo kategorijo"
"Create new product","Ustvarite nov produkt"
"Cross-sells","Navzkrižna prodaja"
"Currently Shopping by:","Trenutno nakupuje:"
"Custom Design","Oblika po meri"
"Custom Options","Možnosti po meri"
"Custom options","Možnosti po meri"
"Customer Group","Skupina kupcev"
"Customers Reviews","Mnenja kupcev"
"Customers Tagged Product","Označeni produkt kupcev"
"Data Type for Saving in Database","Podatkovni tip za shranjevanje v podatkovno bazo"
"Date & Time Custom Options","Možnosti datuma in časa po meri"
"Date Fields Order","Vrstni red polj datumov"
"Date Subscribed","Datum naročnine"
"Datetime","Datum in čas"
"Decimal","Decimalno"
"Declare attribute value saving scope","Določite obseg varčevanja vrednosti atributa"
"Default ""What's This"" Text Message","Privzeto tekstovno sporočilo ""Kaj je to"""
"Default Popup Text Message","Privzeto tekstovno sporočilo pojavnega okenca"
"Default Price","Privzeta cena"
"Default Price Navigation Step","Privzeti navigacijski korak cene"
"Default Qty","Privzeta količina"
"Default Values","Privzete vrednosti"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definira obseg osnovne valute (""Nastavitve valute"" > ""Možnosti valute"" > ""Osnovna baluta"")."
"Delete","Izbrišite"
"Delete Attribute","Izbrišite atribut"
"Delete Attribute Set","Izbrišite nabor atributov"
"Delete Category","Izbrišite kategorijo"
"Delete Group Price","Izbrišite cenovno skupino"
"Delete Option","Izbrišite možnost"
"Delete Row","Izbrišite vrstico"
"Delete Search","Izbrišite iskanje"
"Delete Selected Group","Izbrišite izbrano skupino"
"Delete Tier","Izbrišite količinski popust"
"Delete attribute","Izbrišite atribut"
"Delete category","Izbrišite kategorijo"
"Delete product","Izbrišite produkt"
"Depends on design theme","Zavisi od predloge oblike"
"Description","Opis"
"Design","Oblika"
"Details","Podrobnosti"
"Disabled","Onemogočeno"
"Disallowed file type.","Nedovoljen tip datoteke."
"Display Actual Price","Prikažite dejansko ceno"
"Display Page Control","Prikažite nadzor strani"
"Display Price Interval as One Price","Prikažite cenovni rang kot eno ceno"
"Display Product Count","Prikažite število produktov"
"Display Type","Prikažite tip"
"Display in Suggested Terms","Prikažite v predlaganih izrazih"
"Double click on a group to rename it","Za preimenovanje dvakrat kliknite na skupino"
"Double click on above image to view full picture","Dvakrat kliknite na zgornjo sliko za ogled celotne slike"
"Downloadable Information","Prenosljive informacije"
"Duplicate","Dvojnik"
"Duplicate amount found.","Najden je bil podvojeni znesek."
"Duplicate website group price customer group.","Dvojna skupina kupcev cenovne skupine spletne strani."
"Duplicate website tier price customer group and quantity.","Podvojen količinski popust spletne strani skupine kupcev in količina."
"Duplicate website, country and state tax found.","Najdeni dvojniki spletne strani, države in državnega davka."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Npr. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Prevajanje dinamičnih direktiv vpliva na zmogljivost kataloga."
"Edit","Urejanje"
"Edit Attribute Set '%s'","Uredite nabor atributov '%s'"
"Edit Product Attribute","Uredite atribut produkta"
"Edit Product Attribute ""%s""","Uredite atribut produkta ""%s"""
"Edit Search","Uredite iskanje"
"Edit Search '%s'","Uredite iskanje '%s'"
"Edit Set Name","Uredite ime nabora"
"Email","E-pošta"
"Email to a Friend","Pošljite e-pošto prijatelju"
"Empty","Prazno"
"Enable MAP","Omogoči MAP (najnižja oglaševana cena)"
"Enable Qty Increments","Omogoči inkremente količine"
"Enable WYSIWYG","Omogoči WYSIWYG"
"Enable for reindexing a big number of SKUs.","Omogoči za ponovno indeksiranje velikega števila SKU-jev."
"Enabled","Omogočeno"
"Error during retrieval of option value: %s","Napaka med pridobivanjem vrednosti možnosti: %s"
"Exclude","Izključite"
"Expand All","Razširite vse"
"Failed","Ni uspešno"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Kopiranje datoteke %s ni uspelo. Izbrišite medije z neobstoječimi slikami om poskusite ponovno."
"Failed to move file: %s","Neuspešen premik datoteke: %s"
"Feature Products","Izbrani izdelki"
"Field is not complete","Polje ni zaključeno"
"File options format is not valid.","Format možnosti datoteke ni veljaven."
"File upload failed","Nalaganje datoteke ni bilo uspešno"
"Filter","Filter"
"Filter model name must be declared.","Ime modela filtra mora biti določeno."
"Filter must be an object. Please set correct filter.","Filter mora biti objekt. Prosimo, nastavite ustrezni filter."
"Filterable (no results)","Filtrirno (ni rezultatov)"
"Filterable (with results)","Filtrirno (z rezultati)"
"First Name","Ime"
"Fixed","Fiksno"
"For internal use.","Za interno uporabo."
"For the last time placed.","Postavljeno v zadnjem času."
"Frontend","Ospredje"
"Frontend Model","Model ospredja"
"Frontend Properties","Lastnosti ospredja"
"Gallery","Galerija"
"General Information","Splošne informacije"
"Get full information about attribute with list of options","Dobite polne informacije o atributu s seznamom možnosti"
"Get full information about custom option in product","Dobite polne informacije o možnosti po meri v produktu"
"Get list of available custom option types","Dobite seznam tipov možnosti po meri, ki so na voljo"
"Get list of non-default attributes by product type and attributes set","Dobite seznam ne-privzetih atributov po tipu produkta in naboru atributov"
"Get list of possible attribute types","Dobite seznam možnih tipov atributa"
"Get special price","Dobite posebno ceno"
"Global","Globalno"
"Globally Editable","Možno globalno urejanje"
"Go to Home Page","Pojdite na domačo stran"
"Grid","Mreža"
"Group add","Dodajanje skupine"
"Group remove","Odstranjevanje skupine"
"Grouped Product","Produkti v skupini"
"Groups","Skupine"
"Home","Domov"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Če je prazno, bo uporabljeno ime kategorije"
"If empty, the Product Name will be used","Če je prazno, bo uporabljeno ime produkta"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Če ne določite vrednosti možnosti za določen pogled trgovine, potem bo uporabljena privzeta vrednost (Admin)."
"Image","Slika"
"Image content is not valid base64 data.","Vsebina slike niso veljavni base64 podatki."
"Image does not exist.","Slika ne obstaja."
"Image file was not found.","Datoteka slike ni bila najdena."
"Image type and information need to be specified for each store view.","Tip slike in informacije morajo biti določene za vsak pogled trgovine."
"In Cart","V košarici"
"In Stock","Na zalogi"
"In stock","Na zalogi"
"Incl. Tax","Vključno z davkom"
"Index product and categories URL rewrites","Indeksiranje URL prepisov produktov in kategorij"
"Index product attributes for layered navigation building","Indeksiranje atributov produkta za gradnjo nivojske navigacije"
"Index product prices","Indeksiranje cen produktov"
"Indexed category/products association","Indeksirana povezava kategorije/produktov"
"Info","Informacije"
"Info Column Options Wrapper","Ovoj možnosti stolpca informacij"
"Input Type","Tip vnosa"
"Integer","Celo število"
"Interval Division Limit","Omejitev delitve intervala"
"Invalid Tier Prices","Neveljavni količinski popusti"
"Invalid attribute %s","Neveljaven atribut %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Določena neveljavna možnost atributa za atribut %s (%s), vnos preskočen."
"Invalid attribute set specified, skipping the record.","Določen neveljaven nabor atributov, vnos preskočen."
"Invalid block: %s.","Neveljaven blok: %s."
"Invalid category IDs.","Neveljavni ID-ji kategorij."
"Invalid category.","Neveljavna kategorija."
"Invalid image file type.","Neveljavna vrsta datoteke slike."
"Invalid image type.","Neveljavna vrsta slike."
"Invalid option ID specified for %s (%s), skipping the record.","Določen neveljaven ID možnosti za %s (%s), vnos preskočen."
"Invalid product type specified, skipping the record.","Določen neveljaven tip produkta, vnos preskočen."
"Invalid store specified","Določena neveljavna trgovina"
"Invalid store specified, skipping the record.","Določena neveljavna trgovina, vnos preskočen."
"Invalid tier prices. The product is not associated to the requested website.","Neveljavni količinski popusti. Produkt ni povezan z željeno spletno stranjo."
"Inventory","Inventar"
"Is Default","Je privzeto"
"Is Required","Je zahtevano"
"Items %s to %s of %s total","Elementi %s do %s od skupaj %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Elementi, ki jih ne želite prikazati v katalogu ali zadetkih iskanja morajo imeti status 'Onemogočeno' v željeni trgovini."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Elementi, ki jih ne želite prikazati v katalogu ali zadetkih iskanja, morajo imeti status 'Onemogočeno' v željeni trgovini."
"Keep your eyes open for our special Back to School items and save A LOT!","Bodite pozorni na naše posebne izdelke nazaj v šolo in veliko prihranite!"
"Label","Oznaka"
"Last Name","Priimek"
"Last Notification","Zadnje obvestilo"
"Layered Navigation","Nivojska navigacija"
"Learn More","Izvedite več"
"Line %d, Email: %s","Vstica %d, e-pošta: %s"
"Line %d, SKU: %s","Vrstica %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Povezava (povezan, prodaja navzgor, navzkrižna prodaja)"
"Link product does not exist.","Povezava produkta ne obstaja."
"Link to a Specified Category","Povezava do določene kategorije"
"Link to a Specified Product","Povezava do določenega produkta"
"List","Seznam"
"List Mode","Način seznama"
"List of Products that are set as New","Seznam produktov, ki so nastavljeni kot novo"
"List of types","Seznam tipov"
"Manage Attribute Sets","Upravljanje naborov atributov"
"Manage Attributes","Upravljanje atributov"
"Manage Catalog Categories","Upravljanje kategorij kataloga"
"Manage Categories","Upravljanje kategorij"
"Manage Label / Options","Upravljanje oznak/možnosti"
"Manage Options (values of your attribute)","Upravljanje možnosti (vrednosti vašega atributa)"
"Manage Product Attributes","Upravljanje atributov produkta"
"Manage Product Sets","Upravljanje naborov produktov"
"Manage Products","Upravljanje produktov"
"Manage Stock","Upravljanje zaloge"
"Manage Titles (Size, Color, etc.)","Upravljanje naslovov (velikost, barva itd.)"
"Max Characters","Največ znakov"
"Maximal Depth","Največja globina"
"Maximum Image Size","Največja velikost slike"
"Maximum Number of Price Intervals","Največje število intervalov cen"
"Maximum Qty Allowed in Shopping Cart","Največja dovoljena količina v košarici"
"Maximum allowed image size for '%s' is %sx%s px.","Največja dovoljena velikost slike za '%s' je %sx%s px."
"Maximum image height","Največja višina slike"
"Maximum image width","Največja širina slike"
"Maximum number of characters:","Največje število znakov:"
"Maximum number of price intervals is 100","Največje število cenovnih intervalov je 100"
"Maximum width base product image will be scaled down to in pixels","Največja širina slike osnovnega produkta bo pomanjšana v pikslih"
"Maximum width small product image will be scaled down to in pixels","Največja širina slike majhnega produkta bo pomanjšana v pikslih"
"Media Image","Medijska slika"
"Middle Name","Srednje ime"
"Minimum Advertised Price","Najmanjša oglaševana cena"
"Minimum Lines per Page","Najmanjše število vrstic na stran"
"Minimum Qty Allowed in Shopping Cart","Najmanjša dovoljena količina v košarici"
"Minimum Qty for Item\'s Status to be Out of Stock","Najmanjša količina za status elementa je Ni na zalogi"
"Missing SKU, skipping the record.","Manjka SKU, vnos preskočen."
"More Views","Več pogledov"
"Move","Premaknite"
"Move category in tree","Premaknite kategorijo v drevesu"
"Multi update product","Posodobitev večih produktov"
"Must be in the allowed values list.","Mora biti na seznamu dovoljenih vrednosti."
"My Account","Moj račun"
"N/A","ni na voljo"
"Name","Ime"
"Name in %s","Ime v %s"
"New Product","Nov produkt"
"New Product Attribute","Nov atribut izdelka"
"New Products","Novi produkti"
"New Products Grid Template","Predloga mreže novih produktov"
"New Products List Template","Predloga seznama novih produktov"
"New Root Category","Nova korenska kategorija"
"New Search","Novo iskanje"
"New Set Name","Novo ime nabora"
"New Subcategory","Nova podkategorija"
"New products","Novi produkti"
"Next","Naslednja"
"No","Ne"
"No image","Brez slike"
"No layout updates","Ni posodobitev postavitve"
"No options of this product are available.","Za ta produkt ni možnosti na voljo."
"No product collections found.","Nobenih zbirk produktov ni bilo najdenih."
"None","Noben"
"Not Visible Individually","Posamezno ni vidno"
"Notify Low Stock RSS","RSS obvestila nizke zaloge"
"Notify for Quantity Below","Obvesti za spodnjo količino"
"Number of Products per Page","Število produktov na stran"
"Number of Products to Display","Število prikazanih produktov"
"Number of Uses","Število uporab"
"Number of results","Števillo rezultatov"
"Number of results (For the last time placed)","Število rezultatov (za zadnjega danega)"
"OK","V redu"
"OR","ALI"
"Old Price:","Stara cena:"
"On Gesture","Na kretnjo"
"Option validation failed to add product to cart.","Validacija možnosti ni uspela dodati produkta v košarico."
"Option values","Možnosti vrednosti"
"Option:","Možnost:"
"Options","Možnosti"
"Options Control","Nadzor možnosti"
"Options is required","Možnost je zahtevana"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Naša služba za stranke je na voljo 24/7. Pokličite nas na (555) 555-0123."
"Out of Stock","Ni na zalogi"
"Out of stock","Ni na zalogi"
"PM","popoldan"
"Page Title Separator","Ločilo naslova strani"
"Parent Category","Nadrejena kategorija"
"Pending","Na čakanju"
"Pending Reviews RSS","RSS mnenj na čakanju"
"Percentage","Procenti"
"Please add rows to option.","Dodajte vrstice k možnostim."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Bodite pozorni, saj ko enkrat kliknete na vrstico, se bodo iz izbrane datoteke naložil podatki paketov in vse neshranjene spremembe obrazca bodo izgubljeni."
"Please click on the Close Window button if it is not closed automatically.","Kliknite na gumb za zapiranje okna, če ni samodejno zaprto."
"Please enter a new group name","Vnestite ime nove skupine"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Osvežite ""Prepisi URL-jev kataloga"" in ""Atributi produktov"" v Sistem -&gt; <a href=""%s"">Upravljanje indeksov</a>"
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Osvežite ""Atributi produktov"" v Sistem -&gt; <a href=""%s"">Upravljanje indeksov</a>"
"Please select a static block ...","Izberite statični blok ..."
"Please select items.","Izberite elemente."
"Please select one or more attributes.","Izberite enega ali več atributov."
"Please select product(s).","Izberite produkte."
"Please select products for attributes update","Izberite produkte za posodobitev atributov"
"Please set up merge date/time","Nastavite datum in čas združevanja"
"Please set up merge date/time later then present date","Nastavite datum in čas združevanja na kasneje kot trenutni datum"
"Please specify date required option(s).","Določite zahtevane možnosti datuma."
"Please specify the number of products, that will not be divided into subintervals.","Določite število produktov, ki ne bodo razdeljeni v podintervale."
"Please specify the product required option(s)","Določite zahtevane možnosti produkta"
"Please specify the product required option(s).","Določite zahtevane možnosti produkta."
"Please specify the product\'s option(s).","Določite možnosti produkta."
"Please specify the product\'s required option(s).","Določite zahtevane možnosti produkta."
"Please specify the quantity of product(s).","Določite količino produktov."
"Please specify time required option(s).","Določite zahtevane možnosti časa."
"Please wait...","Počakajte..."
"Position","Položaj"
"Position in Layered Navigation","Položaj v nivojski navigaciji"
"Position of attribute in layered navigation block","Položaj atributa v bloku nivojske navigacije"
"Prev","Prejšnja"
"Previous","Prejšnja"
"Price","Cena"
"Price Navigation Step Calculation","Izračun koraka navigacije cene"
"Price Type","Vrsta cene"
"Price is not available","Cena ni na voljo"
"Price values for options should be specified in system base currency.","Vrednosti cen za možnosti bi morale biti določene osnovni valuti sistema."
"Price:","Cena:"
"Price: %s","Cena: %s"
"Print This Page","Natisni to stran"
"Product","Produkt"
"Product API","API produktov"
"Product Alerts","Obvestila produktov"
"Product Attribute","Atribut produkta"
"Product Attributes","Atributi produktov"
"Product Categories","Kategorije produktov"
"Product Description","Opis produkta"
"Product Extra Info","Dodatne informacije produkta"
"Product Flat Data","Nepovezani podatki produkta"
"Product ID","ID produkta"
"Product Image","Slika produkta"
"Product Image Placeholders","Prostornik slike produkta"
"Product Image Watermarks","Vodni tiski slik produktov"
"Product Images","Slike produktov"
"Product Images API","API slik produktov"
"Product In Websites","Produkt na spletnih strani"
"Product Info Column","Stolpec informacij produkta"
"Product Information","Informacije produkta"
"Product Link Block Template","Predloga bloga povezave produkta"
