" or "," ali "
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","Vnešeni ID za DDV (%s) ni veljaven ID za DDV. Kupec bi pripadal skupini kupca %s."
"The VAT ID is valid. The current Customer Group will be used.","ID za DDV je veljaven. Uporabljena bo trenutna skupina kupcev."
"The account information has been saved.","Informacije računa so bile shranjene."
"The address does not belong to this customer.","Naslov ne pripada temu kupcu."
"The address has been deleted.","Naslov je bil izbrisan."
"The address has been saved.","Naslov je bil shranjen."
"The customer ID and email did not match, skipping the record, line: %s","ID in e-pošta kupca se nista ujemala, preskočen vnos, vrstica: %s"
"The customer does not have default billing address.","Kupec nima privzetega naslova za izstavitev računa."
"The customer email (%s) already exists, skipping the record, line: %s","E-pošta kupca (%s) že obstaja, preskočen vnos, vrstica: %s"
"The customer group has been deleted.","Skupina kupcev je bila odstranjena."
"The customer group has been saved.","Skupina kupcev je bila shranjena."
"The customer is currently assigned to Customer Group %s.","Kupec je trenutno dodeljen skupini kupca %s."
"The first name cannot be empty.","Ime ne sme biti prazno."
"The group ""%s"" cannot be deleted","Skupine ""%s"" ni mogoče izbrisati"
"The last name cannot be empty.","Priimek ne sme biti prazen."
"The minimum password length is %s","Najmanjša dolžina gesla je %s"
"The password cannot be empty.","Geslo ne sme biti prazno."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","Geslo mora imeti vsaj 6 znakov. Presledki na začetku ali koncu bodo prezrti."
"The suffix that goes after name (Jr., Sr., etc.)","Pripona, ki pride za imenom (ml., st. itd.)"
"The title that goes before name (Mr., Mrs., etc.)","Naziv, ki pride pred ime (Ga., Gdč. itd.)"
"There are no items in customer's wishlist at the moment","Trenutno ni elementov na seznamu želja kupca"
"There are no items in customer\'s shopping cart at the moment","Trenutno ni elementov v košarici kupca"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Račun s to e-pošto že obstaja. Če ste prepričani, da je to vaš naslov e-pošte, <a href=""%s"">kliknite tu</a>, da dobite vaše geslo in dostop do vašega računa."
"There was an error validating the VAT ID.","Pri preverjanju ID za DDV je prišlo do napake."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Pri preverjanju ID za DDV je prišlo do napake. Kupec bi pripadal skupini kupca %s."
"This account is not confirmed.","Ta račun ni potrjen."
"This customer email already exists","Ta e-pošta kupca že obstaja"
"This customer has no saved addresses.","Ta kupec nima shranjenih naslovov."
"This email does not require confirmation.","Ta e-pošta ne zahteva potrditve."
"This email will be sent instead of default welcome email, after account confirmation.","Ta e-pošta bo poslana namesto privzete pozdravne e-pošte po potrditvi računa."
"This is My Default %s Address","To je moj privzeti naslov %s"
"To Cart","V košarico"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Za prikaz ID za DDV na ospredju, nastavite prikaz ID za DDV na možnosti ospredja na Da."
"Total","Skupno"
"Type","Tip"
"Unable to save the customer.","Kupca ni bilo mogoče shraniti."
"Unknown","Neznano"
"Unsubscribe from Newsletter","Odjava od e-novic"
"Update","Posodobite"
"Update customer address data","Posodobite podatke naslova kupca"
"Update customer data","Posodobite podatke kupca"
"Use as My Default %s Address","Uporabi kot moj privzeti naslov %s"
"Use as My Default Billing Address","Uporabi kot moj privzeti naslov za izstavitev računa"
"Use as My Default Shipping Address","Uporabi kot moj privzeti naslov za dostavo"
"Use as my default billing address","Uporabi kot moj privzeti naslov za izstavitev računa"
"Use as my default shipping address","Uporabi kot moj privzeti naslov za dostavo"
"VAT Number","ID za DDV"
"VAT Request Date","Datum zahtevka DDV"
"VAT Request Identifier","Identifikator zahtevka DDV"
"Validate VAT Number","Preverjanje ID za DDV"
"Validate on Each Transaction","Preveri pri vsaki transakciji"
"Validation Error Group","Skupina napake preverjanja"
"View","Pogled"
"View Order","Poglejte naročilo"
"Visitor","Obiskovalec"
"Visitors Only","Samo obiskovalci"
"Website","Spletna stran"
"Welcome Email","Pozdravna e-pošta"
"Wishlist","Seznam želja"
"Wishlist - %d item(s)","Seznam želja - št. elemenotov: %d"
"Would you like to change the Customer Group for this order?","Bi želeli spremeniti skupino kupcev za to naročilo?"
"Wrong confirmation key.","Napačen potrditveni ključ."
"Wrong customer account specified.","Določen je napačen račun kupca."
"Wrong email.","Napačna e-pošta."
"Wrong transactional account email type","Napačni tip e-pošte transakcijskega računa"
"YYYY","YYYY"
"Year","Leto"
"You are currently not subscribed to any newsletter.","Trenutno niste naročeni na nobene e-novice."
"You are currently not subscribed to our newsletter.","Trenutno niste naročeni na naše e-novice."
"You are currently subscribed to 'General Subscription'.","Trenutno ste naročeni na 'Splošno naročnino'."
"You are currently subscribed to our newsletter.","Trenutno ste naročeni na naše e-novice."
"You are now logged out","Sedaj ste odjavljeni"
"You have exceeded requests to times per 24 hours from 1 e-mail.","Prekoračili ste št. zahtevkov na 24 ur iz 1 e-pošte."
"You have exceeded requests to times per hour from 1 IP.","Prekoračili ste št. zahtevkov na uro iz 1 IP-ja."
"You have logged out and will be redirected to our homepage in 5 seconds.","Odjavili ste se in na našo domačo stran boste preusmerjeni v 5 sekundah."
"You have no additional address entries in your address book.","V vaši knjigi naslovov nimate dodatnih vnosov naslovov."
"You have no additional entries in your address book.","V vaši knjigi naslovov nimate dodatnih vnosov."
"You have no default billing address in your address book.","V vaši knjigi naslovov nimate privzetega naslova za izstavitev računa."
"You have no default entries in your address book.","V vaši knjigi naslovov nimate privzetih vnosov."
"You have no default shipping address in your address book.","V vaši knjigi naslovov nimate privzetega naslova za dostavo."
"You have not set a default billing address.","Privzetega naslova za izstavitev računa niste nastavili."
"You have not set a default shipping address.","Privzetega naslova za dostavo niste nastavili."
"You have placed no orders yet.","Do sedaj še niste oddali naročil."
"You have placed no products yet.","Produktov še niste dodali."
"You will be charged tax.","Zaračunan vam bo davek."
"You will not be charged tax.","Davek vam ne bo zaračunan."
"Your Tax ID cannot be validated.","Vašega ID za DDV ni mogoče preveriti."
"Your VAT ID was successfully validated.","Vaš ID za DDV je bil uspešno preverjen."
"Your account balance is: %s","Stanje vašega računa je: %s"
"ZIP","Poštna številka"
"ZIP/Post Code","Poštna številka"
"Zip/Postal Code","Poštna številka"
"n/a","ni na voljo"
"or","ali"
"register","registracija"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Če je z/s %s povezan račun, boste prejeli e-pošto s povezavo za ponastavitev vašega gesla."
"Your password has been updated.","Vaše geslo je bilo posodobljeno."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Ta račun ni potrjen. <a href=""%s"">Kliknite tu</a>, da ponovno prejmete potrditveno e-pošto."
"Disable Automatic Group Change Based on VAT ID","Onemogoči samodejno spremembo skupine na osnovi ID za DDV"
"Prefix","Predpona"
"Suffix","Pripona"
"Middle Name/Initial","Srednje ime/naziv"
"Tax/VAT Number","Davčna številka/ID za DDV"
"Date Of Birth","Rojstni datum"
"VAT number","ID za DDV"
