"%s","%s"
"%s already exist.","%s že obstaja."
"%s already exists.","%s že obstaja."
"-- Please Select --","-- Izberite --"
"Invalid query","Neveljavna poizvedba"
"Invalid transactional email code: %s","Neveljavna koda transakcijske e-pošte: %s"
"Invalid website\'s configuration path: %s","Neveljavna pot nastavitev spletne strani: %s"
"JavaScript Settings","Nastavitve JavaScript"
"Layout","Postavitev"
"Leave empty for access from any location.","Pustite prazno za dostop iz katerekoli lokacije."
"List of stores","Seznam trgoin"
"Locale","Območne nastavitve"
"Locale Options","Možnosti območnih nastavitev"
"Log Settings","Nastavitve beleženja"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Beleženje iz Mage::log(). Datoteka se nahaja v {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Beleženje iz Mage::logException(). Datoteka se nahaja v {{base_dir}}/var/log"
"Login is Case Sensitive","Prijava se razlikuje med velikimi in malimi črkami"
"Logo Image","Slika logotipa"
"Logo Image Alt","Atribut alt slike logotipa"
"Logo Image Src","Atribut src slike logotipa"
"Magento info","Informacije Magento"
"Magento info API","Magento info API"
"Mail Sending Settings","Nastavitve pošiljanja e-pošte"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Zagotovite, da se osnovni URL konča s '/' (poševnico), npr. http://yourdomain/magento/"
"Manage Stores","Upravljanje trgovin"
"Match expressions in the same order as displayed in the configuration.","Izrazi ujemanja v enakem vrstnem redu, kot je prikazano v nastavitvah."
"Media Storage","Shramba medijev"
"Merge CSS Files","Združi datoteke CSS"
"Merge JavaScript Files","Združi datoteke JavaScript"
"Message recipients data must be set.","Podatki prejemnikov sporočila morajo biti nastavljeni."
"Miscellaneous HTML","Ostali HTML"
"Miscellaneous Scripts","Ostale skripte"
"Model collection resource name is not defined.","Ime vira zbirke modela ni določen."
"Module ""%1$s"" cannot depend on ""%2$s"".","Modul ""%1$s"" ne more biti odvisen od ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Modul ""%1$s"" zahteva modul ""%2$s""."
"Name","Ime"
"New Design Change","Nova sprememba oblike"
"New Store","Nova trgovina"
"New Store View","Nov pogled trgovine"
"New Website","Nova spletna stran"
"No","Ne"
"Offloader header","Glava prelagalnika"
"PHP SOAP extension is required.","Zahtevana je razširitev PHP SOAP."
"Package","Paket"
"Pagination","Paginacija"
"Pagination Frame","Okvir paginacije"
"Pagination Frame Skip","Preskok okvirja paginacije"
"Parent directory does not exist: %s","Nadrejeni direktorij ne obstaja: %s"
"Path ""%value%"" is not available and cannot be used.","Pot ""%value%"" ni na voljo in se je ne more uporabiti."
"Path ""%value%"" is protected and cannot be used.","Pot ""%value%"" je zaščitena in se je ne more uporabiti."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Pot ""%value%"" ne sme vsebovati preskoka na nadrejeni direktorij (""../"", ""..\\)."""
"Please define flag code.","Določite kodo zastave."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Vnesite 6 ali več znakov. Vodilni ali zaključni presledki bodo ignorirani."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Vnesite 7 ali več znakov. Geslo bi moralo vsebovati tako numerične in abecedne znake."
"Please enter a number 0 or greater in this field.","V to polje vnesite število 0 ali več."
"Please enter a number 1 or greater in this field.","V to polje vnesite število 1 ali več."
"Please enter a number greater than 0 in this field.","V to polje vnesite število večje od 0."
"Please enter a number lower than 100.","Vnesite število manjše od 100."
"Please enter a valid $ amount. For example $100.00.","Vnesite veljaven znesek v $. Na primer $100.00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Vnesite veljaven ključ URL-ja. Na primer ""example-page"", ""example-page.html"" ali ""anotherlevel/example-page""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Vnesite veljavni URL. Na primer http://www.example.com ali www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Vnesite veljavni URL. Protokol je zahtevan (http://, https:// ali ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Vnesite veljavni identifikator XML. Na primer something_1, block5, id-4."
"Please enter a valid credit card number.","Vnesite veljavno številko kreditne kartice."
"Please enter a valid credit card verification number.","Vnesite veljavno potrditveno številko kreditne kartice."
"Please enter a valid date between %s and %s","Vnesite veljaven datum med %s in %s"
"Please enter a valid date equal to or greater than %s","Vnesite veljaven datum enak ali večji od %s"
"Please enter a valid date less than or equal to %s","Vnesite veljaven datum, manjši ali enak %s"
"Please enter a valid date.","Vnesite veljaven datum."
"Please enter a valid day (1-%d).","Vnesite veljaven dan (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Vnesite veljaven e-poštni naslov. Na primer johndoe@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Vnesite veljavno številko faksa. Na primer (123) 456-7890 ali 123-456-7890."
"Please enter a valid full date","Vnesite veljaven polni datum"
"Please enter a valid month (1-12).","Vnesite veljaven mesec (1-12)."
"Please enter a valid number in this field.","V to polje vnesite veljavno številko."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Vnesite veljavno številko telefona. Na primer (123) 456-7890 ali 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Vnesite veljavno številko socialnega zavarovanja. Na primer 123-45-6789."
"Please enter a valid year (1900-%d).","Vnesite veljavno leto (1900-%d)."
"Please enter a valid zip code.","Vnesite veljavno poštno številko."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Vnesite veljavno poštno številko. Na primer 90602 ali 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Vnesite številko izdaje ali začetni datum za preklopni/solo tip kartice."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Vnesite veljavno dolžino CSS. Na primer 100px ali 77pt ali 20em ali .5ex ali 50%."
"Please make sure your passwords match.","Preverite, da se vaši gesli ujemata."
"Please select State/Province.","Izberite zvezno državo/provinco."
"Please select a file","Izberite datoteko"
"Please select an option.","Izberite možnost."
"Please select one of the above options.","Izberite eno izmed zgornjih možnosti."
"Please select one of the options.","Izberite eno izmed možnosti."
"Please set available and/or protected paths list(s) before validation.","Nastavite seznam poti, ki so na voljo in/ali zaščiteni pred preverjanjem."
"Please specify either a category or a product, or both.","Določite bodisi kategorijo ali produkt, ali pa oboje."
"Please use letters only (a-z or A-Z) in this field.","V tem polju uporabite samo črke (a-z ali A-Z)."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","V tem polju uporabite samo številke. Prosimo, izogibajte se presledkom ali drugim znakom, kot so pike ali vejice."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","V tem polju uporabite samo črke (a-z ali A-Z) ali številke (0-9). Presledki ali drugi znaki niso dovoljeni."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","V tem polju uporabite samo črke (a-z ali A-Z) ali številke (0-9) ali presledke in lojtro (#)."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","V tem polju uporabite samo črke (a-z ali A-Z), številke (0-9) ali podčrtaj (_), prvi znak bi moral biti črka."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","V tem polju uporabite samo črke (a-z), številke (0-9) ali podčrtaj (_), prvi znak bi moral biti črka."
"Please use only visible characters and spaces.","Uporabite samo vidne znake in presledke."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Uporabite to obliko datuma: dd/mm/yyyy. Na primer 17/03/2006 za  17. marec 2006."
"Please wait, loading...","Prosimo, počakajte. Nalaganje ..."
"Polls","Ankete"
"Port (25)","Vrata (25)"
"Profiler","Profiler (orodje za spremljanje delovanja aplikacije ali sistema)"
"Recovery Link Expiration Period (days)","Rok poteka povezave za obnovitev (dnevi)"
"Request Path for Specified Store","Pot zahtevka za določeno trgovino"
"Request path length exceeds allowed %s symbols.","Dolžina poti zahtevka presega dovoljene simbole %s."
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Zahtevana datoteka ne sme vključevati preskoka na nadrejeni direktorij (""../"", ""..\\ notation)"""
"Requested invalid store ""%s""","Zahtevana je bila neveljavna trgovina ""%s"""
"Resource is not set.","Vir ni nastavljen."
"Retrieve info about current Magento installation","Pridobite informacije o trenutni namestitvi Magento"
"Retrieve store data","Pridobite shrambo podatkov"
"Retrieve store list","Pridobite seznam trgovin"
"Return-Path Email","Return-Path e-pošta"
"Root Category","Korenska kategorija"
"Sales Representative","Prodajni zastopnik"
"Sales Representative Contact Email","Kontaktna e-pošta prodajnega zastopnika"
"Sales Representative Contact Name","Kontaktno ime prodajnega zastopnika"
"Save","Shrani"
"Save Store","Shrani trgovino"
"Save Store View","Shrani pogled trgovine"
"Save Website","Shrani spletno stran"
"Search Engines Optimization","Optimizacija za iskalnike"
"Secure","Zavarujte"
"Security","Varnost"
"Select Date","Izberite datum"
"Select Media Database","Izberite medijsko podatkovno bazo"
"Sender Email","E-pošta pošiljatelja"
"Sender Name","Ime pošiljatelja"
"Services","Storitve"
"Session Cookie Management","Upravljanje piškotka seje"
"Session Lifetime (seconds)","Življenjska doba seje (sekunde)"
"Session Validation Settings","Nastavitve validacije seje"
"Set Return-Path","Nastavi Return-Path"
"Set as Default","Nastavi za privzeto"
"Skin (Images / CSS)","Izgled (Slike / CSS)"
"Small Logo Image Src","Vir slike majhnega logotipa"
"Sort Order","Vrtni red"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Določeni datum/čas ""%1$s"" se ne ujema z obliko ""%2$s""."
"Start date cannot be greater than end date.","Začetni datum ne more biti večji od končnega datuma."
"Startup Page","Zagonska stran"
"Status","Status"
"Storage Configuration for Media","Nastavitve shrambe za medijo"
"Store","Trgovina"
"Store API","API trgovine"
"Store Contact Address","Kontaktni naslov trgovine"
"Store Contact Information","Kontaktne informacije trgovine"
"Store Contact Telephone","Kontaktni telefon trgovine"
"Store Email Addresses","E-poštni naslovi trgovine"
"Store Hours of Operation","Čas obratovanja trgovine"
"Store Information","Informacije trgovine"
"Store Name","Ime trgovine"
"Store View","Pogled trgovine"
"Store View Information","Informacije pogleda trgovine"
"Store View Name","Ime pogleda trgovine"
"Store view doesn't exist","Pogled trgovine ne obstaja"
"Store with the same code","Trgovina z enako kodo"
"System","Sistem"
"System Log File Name","Ime datoteke sistemskega dnevnika"
"Template Path Hints","Namigi poti predloge"
"Template Settings","Nastavitve predloge"
"Template Variables","Spremenljivke predloge"
"Templates","Predloge"
"Text length does not satisfy specified text range.","Dolžina teksta ne zadostuje določeni obseg teksta."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","%s, je neveljaven vnos. Preverite, da sledi obliki ""http://domain.com/""."
"The From Date value should be less than or equal to the To Date value.","Vrednost datuma začetka bi morala biti manjša ali enaka vrednosti datuma zaključka."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Koda trgovine lahko vsebuje samo črke (a-z), številke (0-9) ali podčrtaj (_), prvi znak mora biti črka"
"The store does not exist","Trgovina ne obstaja"
"The store has been deleted.","Trgovina je bila izbrisana."
"The store has been saved.","Trgovina je bila shranjena."
"The store view has been deleted.","Pogled trgovine je bil izbrisan."
"The store view has been saved","Pogled trgovine je bil shranjen"
"The template Name must not be empty.","Ime predloge ne sme biti prazno."
"The value is not within the specified range.","Vrednost ni znotraj določenega obsega."
"The website does not exist.","Spletna stran ne obstaja."
"The website has been deleted.","Spletna stran je bila izbrisana."
"The website has been saved.","Spletna stran je bila shranjena."
"Themes","Teme"
"This category and all its child elements","Ta kategorija in vsi njeni podrejeni elementi"
"This category and its child categories only","Ta kategorija in samo njene podrejene kategorije"
"This category and its products only","Ta kategorija in samo njeni izdelki"
"This category only","Samo ta kategorija"
"This date is a required value.","Ta datum je zahtevana vrednost."
"This is a required field.","To je zahtevavno polje."
"This store cannot be deleted.","Te trgovine ni mogoče izbrisati."
"This store view cannot be deleted.","Tega pogleda trgovine ni mogoče izbrisati."
"This website cannot be deleted.","Te spletne strani ni mogoče izbrisati."
"This will be displayed just before body closing tag.","To bo prikazano ravno pred končno značko body."
"This will be included before head closing tag in page HTML.","To bo vključeno pred končno značko head v HTML-ju strani."
"Timezone","Časovni pas"
"Title Prefix","Predpona naslova"
"Title Suffix","Pripona naslova"
"Transactional Emails","Transakcijske e-pošte"
"Translate Inline","Prevajanje v vrstici"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Prevajanje, bloki in drugi izpisi predpomnjenja bi morali biti onemogočeni tako za ospredje kot tudi za administracijske prevode v vrstici."
"Translations","Prevodi"
"Two and more slashes together are not permitted in request path","Dve ali več poševnic skupaj ni dovoljenih v poti zahtevka"
"Two and more slashes together are not permitted in url rewrite suffix","Dve ali več poševnic skupaj ni dovoljenih v priponi prepisa URL-ja"
"Unable to create directory: %s","Direktorija %s ni bilo mogoče ustvariti"
"Unable to delete store view. Please, try again later.","Pogleda trgovine ni mogoče izbrisati. Poskusite ponovno kasneje."
"Unable to delete store. Please, try again later.","Trgovine ni mogoče izbrisati. Poskusite ponovno kasneje."
"Unable to delete website. Please, try again later.","Spletne strani ni mogoče izbrisati. Poskusite ponovno kasneje."
"Unable to proceed. Please, try again","Nadaljevanje ni uspelo. Poskusite ponovno"
"Unable to proceed. Please, try again.","Nadaljevanje ni uspelo. Poskusite ponovno."
"Unable to save file ""%s"" at ""%s""","Datoteke ""%s"" pri ""%s"" ni mogoče shraniti"
"Unable to save file: %s","Datoteke %s ni mogoče shraniti"
"Unknown old style column type definition: {$definition}.","Neznani starinski stil definicije tipa stolpca: {$definition}."
"Unknown scope ""%s"".","Neznani obseg ""%s""."
"Unsecure","Ni varno"
"Url Options","Možnosti URL-ja"
"Use Custom Admin Path","Uporabi pot administracije po meri"
"Use Custom Admin URL","Uporabi URL administracije po meri"
"Use HTTP Only","Uporabi samo HTTP"
"Use SID on Frontend","Na ospredju uporabi SID"
"Use Secure URLs in Admin","V administraciji uporabi varne URL-je"
"Use Secure URLs in Frontend","V ospredju uporabi varne URL-je"
"Use Web Server Rewrites","Uporabi prepise spletnega strežnika"
"VAT Number","Številka DDV"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT validacija"
"Validate HTTP_VIA","HTTP_VIA validacija"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR validacija"
"Validate REMOTE_ADDR","REMOTE_ADDR validacija"
"Validation has failed.","Validacija ni uspešna."
"Values less than 60 are ignored. Note that changes will apply after logout.","Vrednosti manj kot 60, so prezrte. Upoštevajte, da bodo spremembe uporabljene po odjavi."
"Variable Code must be unique.","Koda spremenljivke mora biti unikatna."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Opozorilo! Omogočanje te lastnosti ni priporočljivo v produkcijskih okoljih, ker predstavlja potencialno varnostno tveganje."
"Web","Splet"
"Website","Spletna stran"
"Website Information","Informacije spletne strani"
"Website Name","Ime spletne strani"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Koda spletne strani lahko vsebuje samo črke (a-z), številke (0-9) ali podčrtaj (_), prvi znak mora biti črka"
"Website with the same code","Spletna stran z enako kodo"
"Weekend Days","Dnevi vikenda"
"Welcome Text","Besedilo dobrodošli"
"Wrong file info format","Napačna oblika informacije datoteke"
"Wrong number of arguments for %s","Napačno število argumentov za %s"
"Wrong old style column type definition: {$definition}.","Napačna definicija starinskega stila stolpca: {$definition}."
"Yes","Da"
"You will have to log in after you save your custom admin path.","Po shranjevanju vaše poti administracije po meri se boste morali prijaviti."
"Your design change for the specified store intersects with another one, please specify another date range.","Vaša sprememba oblike za določeno trgovino se križa z neko drugo. Določite drug obseg datuma."
"database ""%s""","podatkovna baza ""%s"""
"If present, this will be included in all Transactional Emails","Če je prisotno, bo vključeno v vseh transakcijskih e-poštah"
"For Windows server only.","Samo za Windows strežnike."
