"%s was added to your shopping cart.","%s je bil dodan v vašo košarico."
"%s was updated in your shopping cart.","%s je bil posodobljen v vaši košarici."
"(Excl. Tax)","(brez davka)"
"Coupon code ""%s"" was applied.","Koda kupona ""%s"" je bila uporabljena."
"Coupon code was canceled.","Koda kupona je bil preklicana."
"Create Billing Address","Ustvarite naslov za izstavitev računa"
"Create Shipping Address","Ustvarite naslov za dostavo"
"Create an order from shopping cart","Ustvarite naročilo iz košarice"
"Create shopping cart","Ustvarite košarico"
"Customer Address is not valid.","Naslov kupca ni veljaven."
"Customer Information","Informacije kupca"
"Customer's information","Informacije kupca"
"Data saving problem","Problem shranjevanja podatkov"
"Default Billing","Privzeta izstavitev računa"
"Default Shipping","Privzeta dostava"
"Delete Condition","Izbrišite pogoj"
"Details","Podrobnosti"
"Disabled","Onemogočeno"
"Discount Codes","Kode popusta"
"Display Cart Summary","Prikažite povzetek košarice"
"Display Shopping Cart Sidebar","Prikažite stransko vrstico košarice"
"Display item quantities","Prikažite količine elementov"
"Display number of items in cart","Prikažite število elementov v košarici"
"Display number of items in wishlist","Prikažite število elementov na seznamu želja"
"Easy access to your order history and status","Enostaven dostop do vaše zgodovine naročil in statusa"
"Edit","Uredite"
"Edit Address","Uredite naslov"
"Edit Billing Address","Uredite naslov za izstavitev računa"
"Edit Condition","Uredite pogoj"
"Edit Items","Uredite elemente"
"Edit Shipping Address","Uredite naslov za dostavo"
"Edit Terms and Conditions","Uredite pravila in pogoje"
"Edit Your Cart","Uredite vašo košarico"
"Edit item","Uredite element"
"Edit item parameters","Uredite parametre elementa"
"Email Address","Naslov e-pošte"
"Empty Cart","Izpraznite košarico"
"Empty Shopping Cart Content Before","Izpraznite vsebino košarice pred"
"Enable Onepage Checkout","Omogočite naročilo Onepage"
"Enable Terms and Conditions","Omogočite pravila in pogoje"
"Enabled","Omogočeno"
"Enter a New Address","Vnesite nov naslov"
"Enter your coupon code if you have one.","Vnesite vašo kodo kupona, če jo imate."
"Enter your destination to get a shipping estimate.","Vnesite vašo destinacijo, da dobite oceno dostave."
"Estimate","Ocena"
"Estimate Shipping and Tax","Ocenite dostavo in davek"
"Excl. Tax","Brez davka"
"Fast and easy check out","Hitro in enostavno naročilo"
"Fax","Faks"
"Forgot an Item?","Pozabili element?"
"Forgot your password?","Pozabili vaše geslo?"
"Get a Quote","Dobite predračun"
"Get list of available payment methods","Dobte seznam načinov plačila na voljo"
"Get list of available shipping methods","Dobite seznam načinov dostave na voljo"
"Get list of products in shopping cart","Dobite seznam produktov v košarici"
"Get terms and conditions","Dobite pravila in pogoje"
"Get total prices for shopping cart","Dobite skupne cene za košarico"
"Gift Message","Sporočlo darila"
"Grand Total:","Celota skupaj:"
"Grouped Product Image","Slika produktov v skupini"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Z davkom"
"Invalid checkout type.","Neveljaven tip naročila."
"Invalid data.","Neveljavni podatki."
"Invalid email address ""%s""","Neveljaven naslov e-pošte ""%s"""
"Invalid method: %s","Neveljaven način: %s"
"Invalid shipping method.","Neveljaven način dostave."
"Item not found or already ordered","Element ni bil najden ali pa je že naročen"
"Item was removed successfully.","Element je bil uspešno odstranjen."
"Item was updated successfully.","Element je bil uspešno posodobljen."
"Items","Elementi"
"Items After","Elementi po"
"Items Before","Elementi pred"
"Load customer quote error","Napaka nalaganja predračuna kupca"
"Loading next step...","Nalaganje naslednjega koraka ..."
"Login","Prijava"
"Login/Registration Before","Prijava/Registracija pred"
"Manage Terms and Conditions","Upravljajte pravila in pogoje"
"Maximum Display Recently Added Item(s)","Največji prikaz zadnje dodanih elementov"
"Maximum qty allowed for Shipping to multiple addresses is %s","Največja količina dovoljena za dostavo na več naslovov je %s"
"Mini-cart promotion block","Blok promocije majhne košarice"
"Minimum order amount is %s","Manjmanjši znesek naročila je %s"
"Move","Premaknite"
"Move to Wishlist","Premaknite na seznam želja"
"Move to wishlist","Premaknite na seznam želja"
"Multishipping Checkout","Naročilo večih dostav"
"Multishipping Checkout Address (Any) Form","Obrazec naslova naročila večih dostav"
"Multishipping Checkout Billing Address Creation","Ustvarjanje naslova za izstavitev računa naročila večih dostav"
"Multishipping Checkout Billing Address Edit Form","Obrazec za urejanje naslova za izstavitev računa naročila večih dostav"
"Multishipping Checkout Billing Address Selection","Izbira naslova za izstavitev računa naročila večih dostav"
"Multishipping Checkout Billing Information Step","Korak informacij izstavitve računa naročila večih dostav"
"Multishipping Checkout Customer Address Edit Form","Obrazec za urejanje naslova kupca naročila večih dostav"
"Multishipping Checkout Overview","Pregled naročila večih dostav"
"Multishipping Checkout Shipping Address Creation","Ustvarjanje naslova za dostavo naročila večih dostav"
"Multishipping Checkout Shipping Address Edit Form","Obrazec za urejanje naslova za dostavo naročila večih dostav"
"Multishipping Checkout Shipping Address Selection","Izbira naslova za dostavo naročila večih dostav"
"Multishipping Checkout Shipping Information Step","Korak informacij dostave naročila večih dostav"
"Multishipping Checkout Success","Uspešno naročilo večih dostav"
"My Cart","Moja košarica"
"My Cart (%s item)","Moja košarica (%s element)"
"My Cart (%s items)","Moja košarica (%s elementi)"
"My Cart Extra Actions","Dodatna dejanja moje košarice"
"My Cart Link","Povezava moje košarice"
"New Address","Nov naslov"
"New Condition","Nov pogoj"
"New Terms and Conditions","Nova pravila in pogoji"
"No Payment Methods","Ni načina plačila"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","SKUPNO NAROČILO BO PRIZAKANO PREDEN POŠLJETE NAROČILO"
"One Page Checkout","Naročilo na eni strani"
"One Page Checkout Failure","Napaka naročila na eni strani"
"One Page Checkout Overview","Pregled naročila na eni strani"
"One Page Checkout Success","Uspešno naročilo na eni strani"
"One item of products do not have identifier or sku","Eden izmed produktov nima identifikatorja ali sku"
"One item of products is not belong any of quote item","Eden izmed produktov ne pripada nobenem izmed elementov predračuna"
"Order #","Naročilo #"
"Order Review","Pregled naročila"
"Order Success","Uspešno naročilo"
"Order place error.","Napaka podajanja naročila."
"Other Items in Your Order","Drugi elementi v vašem naročilu"
"Overview Items After","Pregled elementov po"
"Password","Geslo"
"Payment Failed Email Reciever","Prejemnik e-pošte neuspešnega plačila"
"Payment Failed Email Sender","Pošiljatelj e-pošte neuspešnega plačila"
"Payment Failed Emails","E-pošte neuspešnega plačila"
"Payment Failed Template","Predloga neuspešnega plačila"
"Payment Information","Informacije plačila"
"Payment Method","Način plačila"
"Payment Methods After","Metode po plačilu"
"Payment Methods After Checkout Button","Načini plačila po gumbu naročila"
"Payment Methods Before","Načini plačila pred"
"Payment Methods Before Checkout Button","Načini plačila pred gumbom naročila"
"Payment method information","Informacije načina plačila"
"Payment method is not defined","Način plačila ni definiran"
"Payment methods in shopping cart","Načini plačila v košarici"
"Payment profile # %s: ""%s"".","Profil plačila # %s: ""%s""."
"Place Order","Oddajte naročilo"
"Please agree to all Terms and Conditions before placing the order.","Prosimo, strinjajte se z vsemi pravili in pogoji preden oddajate naročilo."
"Please agree to all Terms and Conditions before placing the orders.","Prosimo, strinjajte se z vsemi pravili in pogoji preden oddajate naročilo."
"Please agree to all the terms and conditions before placing the order.","Prosimo, strinjajte se z vsemi pravili in pogoji preden oddajate naročilo."
"Please check billing address information.","Prosimo, preberite informacije naslova za izstavitev računa."
"Please check shipping address information.","Prosimo, preverite informacije naslova za dostavo."
"Please check shipping addresses information.","Prosimo, preverite informacije naslova za dostavo."
"Please choose to register or to checkout as a guest","Prosimo, izberite registracijo ali naročite kot gost"
"Please log in below:","Prosimo, prijavite se spodaj:"
"Please select region, state or province","Prosimo, izberite regijo, zvezno državo ali provinco"
"Please select shipping address for applicable items","Prosimo, izberite naslov za dostavo za uporabljene elemente"
"Please select shipping methods for all addresses","Prosimo, izberite način dostave za vse naslove"
"Please select valid payment method.","Prosimo, izberite veljavni način plačila."
"Please specify payment method.","Prosimo, določite način plačila."
"Please specify shipping method.","Prosimo, določite način dostave."
"Please specify shipping methods for all addresses.","Prosimo, določite načine dostave za vse naslove."
"Price","Cena"
"Proceed to Checkout","Nadaljujte na naročilo"
"Product","Produkt"
"Product Name","Ime produkta"
"Products","Produkti"
"Qty","Količina"
"Qty:","Količina:"
"Quantity","Količina"
"Quantity was recalculated from %d to %d","Količina je bil ponovno izračunana od %d do %d"
"Quote Lifetime (days)","Življenska doba predračuna (dnevi)"
"Quote item does not exist.","Element predračuna ne obstaja."
"Quote item is not found.","Element predračuna ni najden."
"Recently added item(s)","Zadnje dodani element(i)"
"Register","Registrirajte se"
"Register and save time!","Registrirajte se in prihranite čas!"
"Register to Create an Account","Registrirajte se, da ustvarite račun"
"Register with us for future convenience:","Registrirajte se pri nas za bodočo udobje:"
"Remove Item","Odstranite element"
"Remove This Item","Odstranite ta element"
"Remove coupon code from shopping cart","Odstranite kodo kupona iz košarice"
"Remove item","Odstranite element"
"Remove product from shopping cart","Odstranite produkt iz košarice"
"Remove product(s) from shopping cart","Odstranite produkt(e) iz košarice"
"Require Customer To Be Logged In To Checkout","Zahtevano, da je na blagajni kupec prijavljen"
"Retrieve information about shopping cart","Pridobitev informacij o košarici"
"Review Order","Pregled naročila"
"Review Order - %s","Pregled naročila - %s"
"SKU","SKU"
"Sales","Prodaja"
"Save Condition","Shranite pogoj"
"Save in address book","Shraniet v knjigo naslovov"
"See price before order confirmation.","Poglejte ceno pred potrditvijo naročila."
"Select Address","Izberite naslov"
"Select Addresses","Izberite naslove"
"Select Shipping Method","Izberite način dostave"
"Select State/Province...","Izberite zvezno državo/provinco..."
"Select a billing address from your address book or enter a new address.","Izberite naslov za izstavitev računa iz vaše knjige naslovov ali vnesite nov naslov."
"Select a shipping address from your address book or enter a new address.","Izberite naslov za dostavo iz vaše knjige naslovov ali vpišite nov naslov."
"Send Payment Failed Email Copy Method","Način kopiranja pošljanja e-pošte neuspešnega plačila"
"Send Payment Failed Email Copy To","Kopiranje za pošiljanje e-pošte neuspešnega plačila"
"Send To","Pošljite na"
"Separate by "","".","Ločite z "",""."
"Set customer for shopping cart","Nastavite kupca za košarico"
"Set customer's addresses in shopping cart","Nastavite naslove kupca v košarici"
"Set payment method","Nastavite način plačila"
"Set shipping method","Nastavite način dostave"
"Ship to Multiple Addresses","Dostavite na več naslovov"
"Ship to different address","Dostavite na različne naslove"
"Ship to this address","Dostavite na ta naslov"
"Shipping Address","Naslov za dostavo"
"Shipping Information","Informacije dostave"
"Shipping Method","Način dostave"
"Shipping Methods","Načini dostave"
"Shipping To","Dostava na"
"Shipping information","Informacije dostave"
"Shipping method has not been selected yet","Način dostave še ni bil izbran"
"Shipping methods in shopping cart","Načini dostave v košarici"
"Shipping selection is not applicable.","Izbira dostave ni uporabna."
"Shopping Cart","Košarica"
"Shopping Cart Form Before","Obrazec košarice pred"
"Shopping Cart Items After","Elementi košarice po"
"Shopping Cart Items Before","Elementi košarice pred"
"Shopping Cart Sidebar","Stranska vrstica košarice"
"Shopping Cart Sidebar Extra Actions","Dodatne akcije stranske vrstice košarice"
"Shopping Cart is Empty","Košarica je prazna"
"Shopping cart ability to set coupon code","Zmožnost košarice za nastavitev kode kupona"
"Show Content as","Prikažite vsebino kot"
"Some of the requested products are not available in the desired quantity.","Nekaj od zahtevanih produktov ni na voljo v željeni količini."
"Some of the requested products are unavailable.","Nekaj zahtevanih produktov ni na voljo."
"Some products quantities were recalculated because of quantity increment mismatch","Nekaj količine produktov je bilo ponovno izračunane zaradi neujemanja povečevanja kočine"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Opravičujemo se, vendar naročilo gostov ni omogočeno. Prosimo, poskusite ponovno ali kontaktirajte lastnika trgovine."
"Sorry, no quotes are available for this order at this time.","Se opravičujemo, vednar predračun ni na voljo za to naročilo v tem trenutku."
"State/Province","Zvezna država/provinca"
"Status","Status"
"Store View","Pogled trgovine"
"Street Address","Ulica naslova"
"Street Address %s","Ulica naslova %s"
"Submitting order information...","Pošiljanje informacij naročila ..."
"Subtotal","Vmesni seštevek"
"Subtotal must exceed minimum order amount","Vmesni seštevek mora presegati najmanjši znesek naročila"
"Telephone","Telefon"
"Terms and Conditions","Pravila in pogoji"
"Terms and Conditions Information","Informacije pravil in pogojev"
"Terms and conditions","Pravila in pogoji"
"Text","Tekst"
"Thank you for your purchase!","Hvala vam za vaš nakup!"
"The condition has been deleted","Pogoj je bil izbrisan"
"The condition has been saved.","Pogoj je bil shranjen."
"The onepage checkout is disabled.","Naročilo na eni strani je onemogočeno."
"The product could not be found.","Produkta ni bilo mogoče najti."
"The product does not exist.","Produkt ne obstaja."
"There are <a href=""%s"">%s items</a> in your cart.","V vaši košarici se nahaja <a href=""%s"">%s elementov</a> ."
"There is <a href=""%s"">1 item</a> in your cart.","V vaši košarici se nahaja <a href=""%s"">1 element</a>."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Kupec registriran s tem naslovom e-pošte že obstaja. Prosimo, prijavite se z uporabo tega naslova e-pošte ali vnesite drug naslov e-pošte, da registrirate vaš račun."
"There was an error processing your order. Please contact us or try again later.","Prišlo je do napake pri procesiranju vašega naročila. Prosimo, kontaktirajte nas ali poskusite ponovno kasneje."
"This condition no longer exists.","Ta pogoj ne obstaja več."
"Total","Skupaj"
"Total for this address","Skupaj za ta naslov"
"Unable to set Payment Method.","Nastavitev načina plačila ni uspešno."
"Unit Price","Cena enote"
"Update","Posodobite"
"Update Cart","Posodobite košarico"
"Update Qty &amp; Addresses","Posodobite količino in naslove"
"Update Shopping Cart","Posodobite košarico"
"Update Total","Posodobite skupaj"
"Update product quantities in shopping cart","Posodobite količine produkta v košarici"
"Update product(s) quantities in shopping cart","Posodobite količino produkta(ov) v košarici"
"Use Billing Address","Uporabite naslov za izstavitev računa"
"VAT Number","ID za DDV"
"View Shopping Cart","Poglejte košarico"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Procesiramo vaše naročilo in boste kmalu prejeli e-pošto s podrobnostmi naročila. Enkrat, ko je bilo naročilo dostavljeno, boste prejeli drugo e-pošto s povezavo na sledenje njegovega napredka."
"What&#39;s this?","Kaj je to?"
"What's this?","Kaj je to?"
"You have no items in your shopping cart.","V vaši košarici nimate nobenih elementov."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Prejeli voste potrditveno e-pošto za naročilo s podrobnostmi vašega naročila in povezavo na sledenje njegovega napredka."
"Your Checkout Progress","Vaš napredek naročila"
"Your billing agreement # is: %s.","Vaš sporazum izstavitve računa # je: %s."
"Your order # is: %s.","Vaše naročilo # je: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Vaše naročilo ne more biti zaključeno v tem trenutku, saj zanj ni na voljo načinov plačila."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Vaše naročilo trenutno ne more biti zaključeno, saj ni na voljo nobenega načina za dostavo. Prosimo, naredite potrebne spremembe v vašem naslovu za dostavo."
"Your order has been received.","Vaše naročilo je bilo prejeto."
"Your order number is ","Vaša številka naročila je "
"Your recurring payment profiles:","Vaši ponavljajoči profili plačila:"
"Zip","Poštna številka"
"Zip/Postal Code","Poštna številka"
"ok","v redu"
"or","ali"
